City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
283,tindouf,27.6711,-8.1474,19.25,72,0,6.17,DZ,1686628111
284,sao joao da barra,-21.6403,-41.0511,22.53,88,58,2.16,BR,1686627969
285,sumbawanga,-7.9667,31.6167,13.51,63,79,1.35,TZ,1686628111
286,dudinka,69.4058,86.1778,12.18,53,60,3.01,RU,1686628111
287,geraldton,-28.7667,114.6,17.23,51,0,5.66,AU,1686627743
288,sarkikaraagac,38.0794,31.3664,15.2,80,99,1.06,TR,1686628112
289,newport,51.5877,-2.9984,18.07,88,85,3.99,GB,1686628030
290,tynda,55.1667,124.7167,8.06,84,100,3.72,RU,1686628112
291,minas de marcona,-15.2119,-75.1103,11.97,88,82,7.25,PE,1686628011
292,saint-philippe,-21.3585,55.7679,22.28,72,0,1.76,RE,1686628112
293,touros,-5.1989,-35.4608,23.91,90,7,4.6,BR,1686627969
294,kruisfontein,-34.0033,24.7314,12.71,62,90,2.93,ZA,1686627986
295,fortuna,40.5982,-124.1573,13.53,95,100,2.57,US,1686627970
296,kidal,18.4411,1.4078,29.47,46,13,5.01,ML,1686628112
297,nago,26.5881,127.9761,27.47,96,100,4.44,JP,1686628112
298,alexandria,31.2156,29.9553,20.3,75,0,1.05,EG,1686628088
299,saurimo,-9.6608,20.3916,15.09,45,36,1.73,AO,1686628112
300,luanda,-8.8368,13.2343,22.0,88,75,1.03,AO,1686627991
301,hadibu,12.65,54.0333,28.32,79,100,10.68,YE,1686627987
302,santana,-0.0583,-51.1817,27.1,94,20,2.06,BR,1686627898
303,liuli,-11.0833,34.6333,22.36,62,46,1.14,TZ,1686628113
304,silver city,32.7701,-108.2803,19.06,19,0,3.6,US,1686628113
305,guymon,36.6828,-101.4816,17.0,94,40,3.6,US,1686628053
306,lensk,60.7253,114.9278,17.6,23,3,2.29,RU,1686627907
307,sandnessjoen,66.0217,12.6316,9.29,94,75,3.09,NO,1686628113
308,kailua-kona,19.6406,-155.9956,27.98,84,100,5.66,US,1686627746
309,annau,37.8876,58.516,30.72,23,0,1.03,TM,1686628113
310,magadan,59.5667,150.8,18.63,85,88,4.53,RU,1686628113
311,aasiaat,68.7098,-52.8699,-2.24,87,41,2.08,GL,1686627894
312,rtishchevo,52.2604,43.7874,9.0,96,100,6.5,RU,1686628114
313,tucuma,-0.1833,-50.05,24.14,94,100,2.52,BR,1686628114
314,baynjiwayn,35.6183,45.9541,25.02,27,0,1.23,IQ,1686628114
315,callao,-12.0667,-77.15,21.16,78,75,7.72,PE,1686628007
316,kismayo,-0.3582,42.5454,26.16,82,38,6.73,SO,1686628114
317,wanning,18.8003,110.3967,32.06,65,100,3.68,CN,1686628114
318,male,4.1748,73.5089,30.97,79,75,7.2,MV,1686628114
319,fredericton,45.9454,-66.6656,17.58,80,0,2.06,CA,1686627994
320,rakops,-21.0167,24.3333,10.51,56,4,4.62,BW,1686628114
321,broken hill,-31.95,141.4333,15.29,43,0,9.55,AU,1686628115
322,sao paulo de olivenca,-3.3783,-68.8725,22.38,99,74,0.55,BR,1686628115
323,badger,64.8,-147.5333,16.93,43,0,6.17,US,1686627901
324,illizi,26.4833,8.4667,29.92,18,0,4.03,DZ,1686628115
325,grand falls-windsor,48.9332,-55.6649,8.06,91,64,1.67,CA,1686627967
326,sitka,57.0531,-135.33,11.94,62,75,5.66,US,1686627687
327,el charco,2.4769,-78.1105,25.54,91,99,0.91,CO,1686628115
328,tralee,52.2704,-9.7026,15.59,96,94,1.14,IE,1686627997
329,lakatoro,-16.0999,167.4164,25.54,82,77,4.68,VU,1686628115
330,kandira,41.0736,30.1746,16.44,83,100,3.32,TR,1686628116
331,sidney,-33.8679,151.2073,20.73,57,0,8.75,AU,1686628030
332,waajid,3.8096,43.2463,22.21,81,72,8.11,SO,1686628116
333,vangaindrano,-23.35,47.6,18.1,92,6,2.55,MG,1686628116
334,krutinka,56.0055,71.5113,12.28,55,99,3.02,RU,1686628116
335,ain sukhna,29.6002,32.3167,26.53,51,13,1.02,EG,1686628116
336,mersing,2.4312,103.8405,31.95,74,40,4.12,MY,1686627987
337,alofi,-19.0595,-169.9187,21.94,94,100,4.63,NU,1686627999
338,klyuchi,52.2667,79.1667,20.29,47,19,4.66,RU,1686627972
339,urangan,-25.3,152.9,21.01,65,0,1.24,AU,1686628116
340,nguigmi,14.2495,13.1092,29.64,56,0,4.17,NE,1686628117
